,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
249,United States,3.654,3.62,3.4610000000000003,3.319,3.19,2.9130000000000003,2.721,2.5580000000000003,2.464,2.456,2.48,2.266,2.01,1.879,1.835,1.774,1.7380000000000002,1.79,1.76,1.808,1.8395,1.8119999999999998,1.8275,1.7990000000000002,1.8065,1.844,1.8375,1.8719999999999999,1.9340000000000002,2.0140000000000002,2.081,2.0625,2.046,2.0195,2.0015,1.9780000000000002,1.976,1.9709999999999999,1.999,2.0075,2.056,2.0305,2.0205,2.0475,2.0515,2.057,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8575,1.8625,1.8435,1.8
38,China,5.747999999999999,5.919,6.0889999999999995,6.237,6.346,6.396,6.375,6.2860000000000005,6.132999999999999,5.92,5.648,5.322,4.956,4.57,4.181,3.8089999999999997,3.472,3.18,2.938,2.753,2.63,2.57,2.56,2.582,2.623,2.661,2.675,2.654,2.593,2.489,2.35,2.187,2.021,1.868,1.739,1.639,1.571,1.527,1.5030000000000001,1.494,1.4969999999999999,1.508,1.524,1.54,1.554,1.565,1.5719999999999998,1.577,1.581,1.5859999999999999,1.59,1.594,1.599,1.604,1.61,1.617,1.624
171,Niger,7.454,7.473,7.49,7.505,7.518,7.529,7.537000000000001,7.544,7.551,7.558,7.567,7.58,7.596,7.6160000000000005,7.64,7.667999999999999,7.7010000000000005,7.7379999999999995,7.775,7.812,7.843999999999999,7.867999999999999,7.882000000000001,7.886,7.88,7.865,7.845,7.824,7.803,7.7860000000000005,7.772,7.761,7.752000000000001,7.742999999999999,7.734,7.725,7.716,7.707000000000001,7.6979999999999995,7.689,7.678999999999999,7.667999999999999,7.656000000000001,7.642,7.626,7.608,7.587999999999999,7.566,7.542000000000001,7.515,7.487,7.455,7.42,7.381,7.337999999999999,7.29,7.239
124,"Korea, Rep.",6.095,5.928999999999999,5.7379999999999995,5.5329999999999995,5.325,5.125,4.941,4.772,4.617,4.474,4.53,4.54,4.12,4.07,3.77,3.43,3.0,2.99,2.64,2.9,2.82,2.57,2.39,2.06,1.74,1.66,1.58,1.53,1.55,1.56,1.57,1.71,1.76,1.6540000000000001,1.656,1.6340000000000001,1.574,1.52,1.4480000000000002,1.41,1.4669999999999999,1.297,1.166,1.18,1.1540000000000001,1.0759999999999998,1.123,1.25,1.192,1.149,1.226,1.244,1.297,1.187,1.205,1.239,1.172
257,World,4.9840259257529596,5.01169471293111,5.0365899738958095,5.0580667200105704,5.068203654916769,5.04958832839879,4.99664557933687,4.97401122864595,4.920122878064,4.84974539255424,4.77069096666851,4.66198627956904,4.532955546772571,4.405347493021241,4.285025606697229,4.15511839310052,4.041123364911759,3.94003849931566,3.84858191091212,3.78083845780088,3.72237935688536,3.6661254238147905,3.63668139148359,3.60335653410021,3.5719197346073104,3.54249876235559,3.5053337852609503,3.46097989482339,3.40563420306435,3.33286933568029,3.2589527635679,3.1684979778165,3.0814294988896798,2.99398311562796,2.92280273817887,2.85623494994677,2.8034043992645605,2.75636966634962,2.72073901092559,2.68848995557913,2.66789073972806,2.63940200305147,2.61957989063617,2.60332025616485,2.58934199951567,2.57038573496961,2.56127588657511,2.55264038795662,2.5420926444569103,2.52362631023589,2.50802331749635,2.4919633309978,2.48374626041474,2.46832831933094,2.4614785285031098,2.45184516643394,2.4390255498180897
